,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
43,2.53125,14037.9,0.0009375,35.09475,2.53125,13936.1,0.0009375,34.84025,3.0375,17765.7,0.001125,44.41425,2.53125,14130.2,0.0009375,35.3255,2.53125,14008,0.0009375,35.02,2.53125,14872.3,0.0009375,37.18075,235.208,176711,0.087114074,441.7775,246.945,193348,0.091461111,483.37,250.94,214518,0.092940741,536.295,274.935,201152,0.101827778,502.88,264.053,253882,0.097797407,634.705,267.919,247032,0.099229259,617.58
44,3.54375,19648.7,0.0013125,49.12175,3.54375,19511.2,0.0013125,48.778,4.05,23688.4,0.0015,59.221,3.54375,19735.2,0.0013125,49.338,3.54375,19578.1,0.0013125,48.94525,3.54375,20789.4,0.0013125,51.9735,242.523,173321,0.089823333,433.3025,254.259,190369,0.09417,475.9225,256.565,211992,0.095024074,529.98,281.784,192347,0.104364444,480.8675,267.661,246738,0.099133704,616.845,276.589,242436,0.10244037,606.09
45,4.55625,25260,0.0016875,63.15,4.55625,25086.6,0.0016875,62.7165,5.0625,29611.4,0.001875,74.0285,4.55625,25338,0.0016875,63.345,4.55625,25147.4,0.0016875,62.8685,4.55625,26706,0.0016875,66.765,245.266,172127,0.090839259,430.3175,265.232,186167,0.098234074,465.4175,265.002,208364,0.098148889,520.91,288.634,184196,0.106901481,460.49,273.073,236699,0.101138148,591.7475,279.84,240802,0.103644444,602.005
46,5.56875,30871.6,0.0020625,77.179,5.56875,30662.4,0.0020625,76.656,6.075,35534.9,0.00225,88.83725,5.56875,30934,0.0020625,77.335,5.56875,30714.3,0.0020625,76.78575,5.56875,32621.2,0.0020625,81.553,249.381,170382,0.092363333,425.955,268.982,184823,0.099622963,462.0575,277.658,203251,0.102836296,508.1275,295.484,176522,0.109438519,441.305,275.103,233177,0.10189,582.9425,284.716,238397,0.10545037,595.9925
47,6.58125,36483.5,0.0024375,91.20875,6.58125,36238.6,0.0024375,90.5965,7.0875,41458.7,0.002625,103.64675,6.58125,36514.5,0.0024375,91.28625,6.58125,36274.6,0.0024375,90.6865,6.58125,38530.3,0.0024375,96.32575,255.553,167863,0.094649259,419.6575,274.607,182854,0.101706296,457.135,281.408,201838,0.104225185,504.595,300,171739,0.111111111,429.3475,278.147,228025,0.103017407,570.0625,292.031,234898,0.10815963,587.245
48,7.59375,42094,0.0028125,105.235,7.59375,41815.1,0.0028125,104.53775,8.1,47382.9,0.003,118.45725,7.59375,42078.3,0.0028125,105.19575,7.59375,41819.6,0.0028125,104.549,7.59375,44426.8,0.0028125,111.067,264.81,164275,0.098077778,410.6875,283.044,180007,0.104831111,450.0175,287.033,199760,0.106308519,499.4,,,,,282.714,220618,0.104708889,551.545,300,231232,0.111111111,578.08
49,8.60625,47702.3,0.0031875,119.25575,8.60625,47392,0.0031875,118.48,9.1125,53307.4,0.003375,133.2685,8.60625,47629.3,0.0031875,119.07325,8.60625,47348.4,0.0031875,118.371,8.60625,50304.8,0.0031875,125.762,268.282,163009,0.099363704,407.5225,295.7,175948,0.109518519,439.87,295.471,196727,0.109433704,491.8175,,,,,289.563,210177,0.107245556,525.4425,,,,
50,9.61875,53306.8,0.0035625,133.267,9.61875,52969.1,0.0035625,132.42275,10.125,59232.3,0.00375,148.08075,9.61875,53166.7,0.0035625,132.91675,9.61875,52865.7,0.0035625,132.16425,9.61875,56168.6,0.0035625,140.4215,273.489,161146,0.101292222,402.865,300,174645,0.111111111,436.6125,300,195157,0.111111111,487.8925,,,,,292.132,206558,0.108197037,516.395,,,,
51,9.61875,53306.8,0.0035625,133.267,9.61875,52969.1,0.0035625,132.42275,9.1125,53307.4,0.003375,133.2685,9.61875,53166.7,0.0035625,132.91675,9.61875,52865.7,0.0035625,132.16425,9.61875,56168.6,0.0035625,140.4215,281.3,158443,0.104185185,396.1075,,,,,,,,,,,,,295.985,201366,0.109624074,503.415,,,,
52,8.60625,47693.8,0.0031875,119.2345,8.60625,47392,0.0031875,118.48,8.1,47382.9,0.003,118.45725,8.60625,47553.6,0.0031875,118.884,8.60625,47288.5,0.0031875,118.22125,8.60625,50243.8,0.0031875,125.6095,284.23,157471,0.10527037,393.6775,,,,,,,,,,,,,300,196181,0.111111111,490.4525,,,,
